state,year,dr_customers,dr_energy_savings_mwh,dr_potential_peak_mw,dr_actual_peak_mw,dr_customer_incentives_kusd,dr_other_costs_kusd,summer_peak_mw,winter_peak_mw,sales_to_ultimate_customers_mwh,sales_total_revenue_kusd,sales_total_mwh,sales_total_customers,summer_peak_per_mwh,winter_peak_per_mwh,dr_actual_peak_share_of_summer_peak,dr_potential_peak_share_of_summer_peak,log_sales_total_mwh,log_summer_peak_mw,log_dr_actual_peak_mw
ND,2017,33868.0,32813.0,794.8,231.0,19951.0,1716.0,,,,1767922.8,20140426.0,463336.0,,,,,16.818239596967437,,5.442417710521793
ND,2018,38968.0,36192.0,802.4000000000001,236.0,20923.0,1853.0,,,,1842372.9,20669506.0,466729.0,,,,,16.844170032001287,,5.4638318050256105
ND,2019,39603.0,24051.804,806.689,277.084,21566.539,2054.808,,,,1908489.8,21559255.0,470196.0,,,,,16.88631574867706,,5.624320709314097
ND,2020,57946.0,26177.708000000002,830.7940000000001,296.072,5978.652999999999,2175.633,,,,1861429.5,21819452.0,473273.0,,,,,16.898312423480036,,5.690602667988462
ND,2021,58254.0,49874.895,827.1579999999999,338.039,3563.936,1376.484,,,,1977346.3,22863107.0,477494.0,,,,,16.94503512135615,,5.8231612734421105
ND,2022,56959.0,54596.636,915.1779999999999,444.576,3079.949,1588.705,8850.0,9830.7,21128615.0,2139310.4,25392877.0,478412.0,0.00034852293420710066,0.0003871440010519486,0.050234576271186444,0.10340994350282484,17.049979259589193,9.088172738001974,6.097121018966451
ND,2023,55941.0,17665.4,719.4300000000001,264.621,2704.955,1450.0610000000001,9554.1,9909.7,23736621.0,2263487.3,28202179.0,482330.0,0.00033877169561968954,0.0003513806504100269,0.027697114327880173,0.07530065626275631,17.154909802426754,9.16472566071531,5.578298613610979
NE,2015,58388.0,5669.0,725.4,352.2,7076.0,2811.0,,,,2626775.9,29495073.0,1036316.0,,,,,17.19973379041201,,5.864199196062105
NE,2016,64198.0,22072.0,776.3,497.9,9054.0,2232.0,,,,2732219.9,30199354.0,1045463.0,,,,,17.223331091387838,,6.210399253648137
NE,2017,65283.0,23172.0,897.2,552.2,16433.0,1974.0,,,,2755770.1,30359007.0,1055516.0,,,,,17.22860380244692,,6.3139102994960545
NE,2018,69721.0,14228.0,922.8000000000001,385.4,9459.0,2471.0,,,,2791727.3,30939492.0,1065615.0,,,,,17.24754398409916,,5.954281755980266
NE,2019,73852.0,12624.16,1061.224,435.508,9232.322,1838.663,,,,2759153.9,30383190.0,1071637.0,,,,,17.229400052911082,,6.076513165813848
